GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
io.github.ci-cmg:trackline-simplifier,edu.colorado.cires.cmg.tracklinegen,GeometrySimplifier,0,24,0,0,0,6,0,2,0,2
io.github.ci-cmg:trackline-simplifier,edu.colorado.cires.cmg.tracklinegen,PointState,27,29,0,0,1,12,1,7,1,7
io.github.ci-cmg:trackline-simplifier,edu.colorado.cires.cmg.tracklinegen,GeoJsonMultiLineWriter,86,155,2,6,19,49,3,10,2,7
io.github.ci-cmg:trackline-simplifier,edu.colorado.cires.cmg.tracklinegen,SimplifiedPointCountExceededException,0,4,0,0,0,2,0,1,0,1
io.github.ci-cmg:trackline-simplifier,edu.colorado.cires.cmg.tracklinegen,GeoJsonMultiLineParser,179,846,26,61,36,186,25,37,4,14
io.github.ci-cmg:trackline-simplifier,edu.colorado.cires.cmg.tracklinegen,GeoJsonMultiLineParser.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
io.github.ci-cmg:trackline-simplifier,edu.colorado.cires.cmg.tracklinegen,ValidationRuntimeException,0,5,0,0,0,2,0,1,0,1
io.github.ci-cmg:trackline-simplifier,edu.colorado.cires.cmg.tracklinegen,AntimeridianUtils,181,379,21,41,19,55,15,25,1,8
io.github.ci-cmg:trackline-simplifier,edu.colorado.cires.cmg.tracklinegen,GeometryProperties,0,45,0,0,0,14,0,7,0,7
io.github.ci-cmg:trackline-simplifier,edu.colorado.cires.cmg.tracklinegen,BaseRowListener,68,1093,13,120,15,229,12,82,2,25
io.github.ci-cmg:trackline-simplifier,edu.colorado.cires.cmg.tracklinegen,ValidationException,16,9,0,0,4,3,2,1,2,1
io.github.ci-cmg:trackline-simplifier,edu.colorado.cires.cmg.tracklinegen,TracklineProcessor,0,33,0,2,0,11,0,3,0,2
io.github.ci-cmg:trackline-simplifier,edu.colorado.cires.cmg.tracklinegen,GeoJsonMultiLineProcessor,14,70,0,0,4,18,0,5,0,5
io.github.ci-cmg:trackline-simplifier,edu.colorado.cires.cmg.tracklinegen,GeometryProperties.Builder,8,80,0,0,2,24,1,10,1,10
io.github.ci-cmg:trackline-simplifier,edu.colorado.cires.cmg.tracklinegen,GeometryFactoryFactory,0,8,0,0,0,1,0,1,0,1
io.github.ci-cmg:trackline-simplifier,edu.colorado.cires.cmg.tracklinegen,RowProcessor,0,32,0,0,0,9,0,7,0,7
io.github.ci-cmg:trackline-simplifier,edu.colorado.cires.cmg.tracklinegen,BaseRowListener.Sign,0,24,0,0,0,3,0,1,0,1
